,effect_size,ring,true_effect,att_mSlearn,se_mSlearn,att_mCF,se_mCF,att_dCF,se_dCF,att_mDiD,se_mDiD
0,100.0,treated_inner_ring,1.5,1.1599405357028256,0.17888818998733422,1.7414735930166119,0.06757831179693365,1.6836148704185012,0.07354098623497807,1.685369964619409,0.2380423588991001
1,100.0,treated_outer_ring1,0.7259387620681594,0.2580239486010361,0.06986853647306354,0.7433250212664486,0.09621494201769493,0.8553633081724004,0.1109447110256337,0.8190034717586838,0.23177516531742662
2,100.0,treated_outer_ring2,0.5648617304552653,0.5359850852386786,0.09447591564473626,0.8253387539306172,0.0235792060881411,0.5149649971065907,0.04123066101412495,0.759354251287939,0.20835670368001005
3,100.0,treated_outer_ring3,0.14770799595273995,0.05784637284678482,0.0529528621530889,0.09816484803492788,0.03553493711269745,0.3503785436101,0.02292376019874903,0.1305688398555456,0.17906422578917483
4,100.0,treated_outer_ring4,0.02126163297099585,0.08506709757604874,0.0584505405044903,0.1121590270443361,0.017483593130850773,0.24676066145851247,0.016176796399679325,0.13299247110019674,0.16995557723735968
5,66.66666666666666,treated_inner_ring,1.5000000000000002,1.1238632115520375,0.18361031464950153,1.4330224263095779,0.061753125434539355,1.4148482957819113,0.047531931509290255,1.5126018687715406,0.23722263233128546
6,66.66666666666666,treated_outer_ring1,0.8607746533108582,0.9223221018229856,0.11599089007386826,1.0055502832876853,0.06907752492424256,1.1436612522631773,0.03006640703218927,1.2263319472368774,0.23077130206120397
7,66.66666666666666,treated_outer_ring2,0.6463283083637767,0.4605952684939741,0.09242081281251158,0.8298422116046222,0.08036690824782071,0.5926355593508466,0.013584383643523186,0.8123696039412998,0.20836391074691793
8,66.66666666666666,treated_outer_ring3,0.15875575291354926,0.014744012565041502,0.0376849430898169,-0.06758531638381286,0.025224835161855957,0.3880104025884446,0.007518939847731006,-0.07249673845420251,0.17865487917312564
9,66.66666666666666,treated_outer_ring4,0.021295286076469435,0.0031883558888476174,0.03337848256375447,-0.01661072760676133,0.02532949184663469,0.2881694225490209,0.004444875047885934,0.023357768556682423,0.16891479465876894
10,50.0,treated_inner_ring,1.5,0.6665724492090028,0.12268397883390492,1.1846726289410898,0.06675708494387414,1.1549449747689857,0.06688752586451831,1.1426562479898705,0.2363172328333527
11,50.0,treated_outer_ring1,1.038291729604282,0.8768195514936465,0.14035542638593396,1.0967831689238667,0.04058056510495339,0.9517194611085007,0.07060622451507462,1.0080430461244123,0.22956973285200138
12,50.0,treated_outer_ring2,0.5430423951365216,-0.018163828134123716,0.06942007601293118,0.23522365337202578,0.12709944744236668,0.4310105272340718,0.039827397344958604,0.13042742488195225,0.20758567598253932
13,50.0,treated_outer_ring3,0.10726708195050542,0.08658466382119542,0.03576845387831323,0.21803940689243678,0.05090544514049722,0.26976050589915995,0.018662321290727844,0.17808449398818704,0.17890517249403984
14,50.0,treated_outer_ring4,0.017442939231530997,-0.009290150812524732,0.018114908181004353,0.0024227387954786697,0.023049723327920497,0.19304628353806264,0.011636544306180514,0.05116443123717326,0.16855030317013842
15,28.57142857142857,treated_inner_ring,1.4999999999999998,1.365381632089285,0.16779362362325423,1.5253472240261137,0.0377925399077361,1.468622477357287,0.04159520498355408,1.5900743000954685,0.24667752770465426
16,28.57142857142857,treated_outer_ring1,0.6252547208773811,0.5727395521136431,0.12029172447756091,0.7239211829989359,0.08866053747151174,0.6835960101516383,0.0925662222289902,0.7080950164707867,0.24273956479736428
17,28.57142857142857,treated_outer_ring2,0.4780989062542931,0.21951197795827246,0.09612002687869942,0.3932458117420394,0.06368738603659628,0.4369968237069122,0.05185333960757215,0.525334815918885,0.2166603608731357
18,28.57142857142857,treated_outer_ring3,0.1859565086036759,-0.025124771168237827,0.05543392423077739,-0.0443189639309396,0.03820059053742074,0.33867299350378943,0.022051771758233876,-0.06878039045712359,0.18566522006530722
19,28.57142857142857,treated_outer_ring4,0.01869575640694015,0.013416926248566288,0.03920226545348665,0.09592646135413532,0.043909335541362525,0.21774614007614254,0.019165129330619656,0.22136415967909073,0.17722624379265076
20,25.0,treated_inner_ring,1.5,1.383675746716365,0.12505401412465447,1.84505809626929,0.08797225318332877,1.866318930656234,0.08149327360855653,1.7955045221233719,0.23460790836783402
21,25.0,treated_outer_ring1,0.7396667918028197,0.49153674074146353,0.07479189041551747,0.9317776998301348,0.049132810547174624,1.0766106297360636,0.05062408159039263,0.9231260397895253,0.2277142003259992
22,25.0,treated_outer_ring2,0.5477976209068984,0.46762877201823294,0.05651522188567102,0.7578010549375811,0.020871144290508598,0.6002194957215584,0.018843633940545383,0.7211717505843779,0.20632757522955827
23,25.0,treated_outer_ring3,0.14941428714660027,-0.048057060938687925,0.0469331057651133,-0.1988925108835238,0.04036818523443779,0.3875312735330722,0.012526175104110186,-0.21775376500168075,0.17620428975405286
24,25.0,treated_outer_ring4,0.023383934564228097,-0.09397292184617351,0.041703218701133804,-0.12455694153673402,0.02436817563917229,0.28983058038194953,0.007171920548626704,-0.15308591042946823,0.16738227165104488
